,src,dst,ts,label,idx
0,35485,2780,1963,0,1
1,29635,36096,1964,0,2
2,36096,21398,1965,0,3
3,29635,21398,1965,0,4
4,5126,8414,1975,0,5
5,8414,5126,1975,0,6
6,47497,5126,1975,0,7
7,8166,19260,1981,0,8
8,12977,29487,1985,0,9
9,8166,12977,1985,0,10
10,29487,12977,1985,0,11
11,26248,48865,1986,0,12
12,57440,12536,1987,0,13
13,32398,30349,1987,0,14
14,38448,13974,1987,0,15
15,57504,5614,1987,0,16
16,27229,56510,1987,0,17
17,57805,47388,1987,0,18
18,10579,55376,1987,0,19
19,58802,22897,1987,0,20
20,5614,33536,1987,0,21
21,2579,53188,1987,0,22
22,2579,29965,1987,0,23
23,52521,26136,1987,0,24
24,2579,23222,1987,0,25
25,46233,3798,1988,0,26
26,1156,41921,1988,0,27
27,14237,2215,1988,0,28
28,55722,2094,1988,0,29
29,10154,33066,1988,0,30
30,60965,20902,1988,0,31
31,53355,60125,1988,0,32
32,10217,4139,1988,0,33
33,11412,50591,1988,0,34
34,5674,23085,1988,0,35
35,19234,34892,1988,0,36
36,50341,38528,1988,0,37
37,2094,46842,1988,0,38
38,46842,2094,1988,0,39
39,58840,5641,1988,0,40
40,41921,45531,1988,0,41
41,33743,41530,1988,0,42
42,6928,43761,1988,0,43
43,7062,61775,1988,0,44
44,44880,61775,1988,0,45
45,52599,9570,1988,0,46
46,11805,57468,1988,0,47
47,29798,45623,1989,0,48
48,11296,42488,1989,0,49
49,12353,10158,1989,0,50
50,12353,45623,1989,0,51
51,45908,2973,1989,0,52
52,36317,11471,1989,0,53
53,26248,56323,1989,0,54
54,48838,5575,1989,0,55
55,9173,51421,1989,0,56
56,57504,50951,1989,0,57
57,44880,12058,1989,0,58
58,38028,47551,1989,0,59
59,56943,34626,1989,0,60
60,1721,51427,1989,0,61
61,58840,45623,1989,0,62
62,45623,52588,1989,0,63
63,38381,30894,1989,0,64
64,51423,47309,1989,0,65
65,6543,12058,1989,0,66
66,36288,25785,1989,0,67
67,26039,36289,1989,0,68
68,6255,19332,1989,0,69
69,30904,29694,1989,0,70
70,41587,7377,1989,0,71
71,31903,52588,1989,0,72
72,57772,50951,1989,0,73
73,38448,15944,1989,0,74
74,46621,56943,1989,0,75
75,60125,7708,1989,0,76
76,58447,50951,1989,0,77
77,25931,26697,1989,0,78
78,56365,51896,1989,0,79
79,31732,9173,1989,0,80
80,2813,29694,1989,0,81
81,1501,30894,1989,0,82
82,23825,54147,1989,0,83
83,55698,36288,1989,0,84
84,47388,53915,1989,0,85
85,49803,20338,1989,0,86
86,1850,31360,1989,0,87
87,1850,29694,1989,0,88
88,45324,20695,1989,0,89
89,14831,4605,1989,0,90
90,53453,31543,1989,0,91
91,53453,29694,1989,0,92
92,53453,3338,1989,0,93
93,4460,1330,1989,0,94
94,28888,41587,1989,0,95
95,30904,39213,1989,0,96
96,29791,38092,1989,0,97
97,13974,15944,1989,0,98
98,9317,1755,1989,0,99
99,9541,54953,1989,0,100
100,56510,12058,1989,0,101
101,59000,56365,1989,0,102
102,484,37276,1989,0,103
103,24689,4605,1989,0,104
104,9317,51427,1989,0,105
105,17607,51427,1989,0,106
106,17689,39631,1989,0,107
107,33134,35107,1989,0,108
108,44697,37276,1989,0,109
109,15382,52588,1989,0,110
110,47629,36289,1989,0,111
111,10579,45623,1989,0,112
112,53915,13037,1989,0,113
113,54085,33445,1989,0,114
114,14191,20495,1989,0,115
115,29699,20804,1989,0,116
116,49554,26758,1989,0,117
117,56388,4440,1989,0,118
118,54673,8491,1989,0,119
119,59063,10158,1989,0,120
120,9883,37614,1990,0,121
121,59103,15029,1990,0,122
122,3430,12714,1990,0,123
